filename,microcode, Error
Tencent_LC2152390000J_2022-01-17-09-55,,"Execute EfiSmbusSendByte (0xE2) mdatabyte = 4, Status = Device Error
******* Collect Previous Boot Error - START *******
******* Collect Previous Boot Error - END   *******
"
Tencent_LC21C1090002E_2022-01-08-02-16,revision=0x7000020,"[    8.169287] ERST: Error Record Serialization Table (ERST) support is initialized.
[    8.176508] ERST: Error Record Serialization Table (ERST) support is initialized.
[    8.196979] ERST: Error Record Serialization Table (ERST) support is initialized.
[    0.000000] ACPI Error: Gpe0Block - 32-bit FADT register is too long (32 bytes, 256 bits) to convert to GAS struct - 255 bits max, truncating (20130328/tbfadt-202)
[    8.182946] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_FX21B130004VM_2022-01-07-17-23,revision=0xd0002c1,"[    7.054165] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_LC2190290002K_2022-01-08-02-12,revision=0x7000020,"[    8.217899] ERST: Error Record Serialization Table (ERST) support is initialized.
[    8.195407] ERST: Error Record Serialization Table (ERST) support is initialized.
[    0.000000] ACPI Error: Gpe0Block - 32-bit FADT register is too long (32 bytes, 256 bits) to convert to GAS struct - 255 bits max, truncating (20130328/tbfadt-202)
[    8.225246] ERST: Error Record Serialization Table (ERST) support is initialized.
[    8.218657] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_LC21A1790001L_2022-01-08-02-16,revision=0x7000020,"[    8.203458] ERST: Error Record Serialization Table (ERST) support is initialized.
[    8.221762] ERST: Error Record Serialization Table (ERST) support is initialized.
[    0.000000] ACPI Error: Gpe0Block - 32-bit FADT register is too long (32 bytes, 256 bits) to convert to GAS struct - 255 bits max, truncating (20130328/tbfadt-202)
[    8.223943] ERST: Error Record Serialization Table (ERST) support is initialized.
[    8.210926] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_LC21B099000DK_2022-01-08-02-16,revision=0x7000020,"[    8.272543] ERST: Error Record Serialization Table (ERST) support is initialized.
[    8.250129] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_LC21C10900016_2022-01-17-09-55,revision=0x7000020,"[    8.253577] ERST: Error Record Serialization Table (ERST) support is initialized.
[    0.000000] ACPI Error: Gpe0Block - 32-bit FADT register is too long (32 bytes, 256 bits) to convert to GAS struct - 255 bits max, truncating (20130328/tbfadt-202)
[    8.259500] ERST: Error Record Serialization Table (ERST) support is initialized.
[    8.248887] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_LC21C1790000B_2022-01-08-02-16,revision=0x7000020,"[    8.233882] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_LC21920900061_2022-01-17-09-55,revision=0x7000020,"[    8.063727] ERST: Error Record Serialization Table (ERST) support is initialized.
[    8.060042] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_LC2152090000G_2022-01-17-09-55,,
Tencent_FX21B050001PD_2022-01-17-09-55,revision=0xd0002c1,"[    7.062029] ERST: Error Record Serialization Table (ERST) support is initialized.
[    7.058913] ERST: Error Record Serialization Table (ERST) support is initialized.
[    7.053127] ERST: Error Record Serialization Table (ERST) support is initialized.
[    7.049748] ERST: Error Record Serialization Table (ERST) support is initialized.
[    7.053232] ERST: Error Record Serialization Table (ERST) support is initialized.
[    7.065228] ERST: Error Record Serialization Table (ERST) support is initialized.
[    7.051117] ERST: Error Record Serialization Table (ERST) support is initialized.
[    7.062068] ERST: Error Record Serialization Table (ERST) support is initialized.
[    7.057250] ERST: Error Record Serialization Table (ERST) support is initialized.
[    7.058448] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_LC21C11800171_2022-01-07-17-23,revision=0xd0002c1,"[   12.686267] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_LC2160380004B_2022-01-08-02-16,,
Tencent_LC21B0390007Y_2022-01-08-02-16,,
Tencent_LC21C189000L5_2022-01-17-09-55,revision=0x7000020,"[    8.253354] ERST: Error Record Serialization Table (ERST) support is initialized.
[    0.000000] ACPI Error: Gpe0Block - 32-bit FADT register is too long (32 bytes, 256 bits) to convert to GAS struct - 255 bits max, truncating (20130328/tbfadt-202)
[    8.252338] ERST: Error Record Serialization Table (ERST) support is initialized.
[    8.264265] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_LC21A2190004A_2022-01-17-09-55,,
Tencent_LC21B09900094_2022-01-17-09-55,revision=0x7000020,"[    8.257707] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_LC21B308000DL_2022-01-07-17-23,revision=0xd0002c1,"[    0.000000] ACPI Error: Gpe0Block - 32-bit FADT register is too long (32 bytes, 256 bits) to convert to GAS struct - 255 bits max, truncating (20130328/tbfadt-202)
"
Tencent_LC21B119000FK_2022-01-17-09-53,revision=0xd0002c1,"[    7.140456] ERST: Error Record Serialization Table (ERST) support is initialized.
[    0.000000] ACPI Error: Gpe0Block - 32-bit FADT register is too long (32 bytes, 256 bits) to convert to GAS struct - 255 bits max, truncating (20130328/tbfadt-202)
[    7.137650] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_LC2182090002M_2022-01-17-09-55,revision=0xd0002c1,"[   20.216270] ERST: Error Record Serialization Table (ERST) support is initialized.
[   20.223920] ERST: Error Record Serialization Table (ERST) support is initialized.
[   20.246237] ERST: Error Record Serialization Table (ERST) support is initialized.
"
