2022-01-07T10:42:23,idl.log,LC21C209000BD,InspurDiagnose:,"|2022-01-07T10:40:16+08:00|SYS RESTART|Assert|Info|1D000000|BMC_Boot_Up System Initiated by power up BMC first boot up| 
/home/maomao/LOG-analysis/Error_logs/Tencent_LC21C209000BD_2022-01-17-09-51/onekeylog/log/idl.log:280:<166>  2022-01-07T10:42:23.423195+08:00 LC21C209000BD InspurDiagnose:   |2022-01-07T10:40:51+08:00|POWER BUTTON|Assert|Info|14000000|Power_Button Power Button Pressed Happened  Power Button Short Pressed| 
/home/maomao/LOG-analysis/Error_logs/Tencent_LC21C209000BD_2022-01-17-09-51/onekeylog/log/idl.log:281:<162>  2022-01-07T10:42:23.513195+08:00 LC21C209000BD InspurDiagnose:   |2022-01-07T10:40:51+08:00|MAINBOARD|Assert|Critical|12FF0202|System_Error SYS Error  IERR  FM_CPU_CATERR_LVT3_N_Long.| 
/home/maomao/LOG-analysis/Error_logs/Tencent_LC21C209000BD_2022-01-17-09-51/onekeylog/log/idl.log:282:<166>  2022-01-07T10:42:23.513195+08:00 LC21C209000BD InspurDiagnose:   |2022-01-07T10:40:51+08:00|SYS RESTART|Assert|Info|1D020000|SysRestart System Initiated by power up  System Restart Cause: power-up via power pushbutton| 
/home/maomao/LOG-analysis/Error_logs/Tencent_LC21C209000BD_2022-01-17-09-51/onekeylog/log/idl.log:283:<166>  2022-01-07T10:42:23.523195+08:00 LC21C209000BD InspurDiagnose:   |2022-01-07T10:40:54+08:00|ACPI STATUS|Assert|Info|22FF0000|ACPI_PWR S0/G0 working | 
/home/maomao/LOG-analysis/Error_logs/Tencent_LC21C209000BD_2022-01-17-09-51/onekeylog/log/idl.log:284:<162>  2022-01-07T10:42:23.523195+08:00 LC21C209000BD InspurDiagnose:   |2022-01-07T10:41:21+08:00|MAINBOARD|Deassert|Critical|12FF0202|System_Error SYS Error  IERR .| 
/home/maomao/LOG-analysis/Error_logs/Tencent_LC21C209000BD_2022-01-17-09-51/onekeylog/log/idl.log:285:<166>  2022-01-07T10:42:23.523195+08:00 LC21C209000BD InspurDiagnose:   |2022-01-07T10:41:52+08:00|ACPI STATUS|Assert|Info|22FF0600|ACPI_PWR S4/S5 - soft-off | 
/home/maomao/LOG-analysis/Error_logs/Tencent_LC21C209000BD_2022-01-17-09-51/onekeylog/log/idl.log:286:<166>  2022-01-07T10:42:23.523195+08:00 LC21C209000BD InspurDiagnose:   |2022-01-07T10:41:55+08:00|POWER BUTTON|Assert|Info|14000000|Power_Button Power Button Pressed Happened  Power Button Short Pressed| 
/home/maomao/LOG-analysis/Error_logs/Tencent_LC21C209000BD_2022-01-17-09-51/onekeylog/log/idl.log:287:<166>  2022-01-07T10:42:23.743195+08:00 LC21C209000BD InspurDiagnose:   |2022-01-07T10:40:16+08:00|SYS RESTART|Assert|Info|1D020000|SysRestart System Initiated by power up  System Restart Cause: power-up via power pushbutton| 
/home/maomao/LOG-analysis/Error_logs/Tencent_LC21C209000BD_2022-01-17-09-51/onekeylog/log/idl.log:288:<162>  2022-01-07T10:42:23.743195+08:00 LC21C209000BD InspurDiagnose:   |2022-01-07T10:41:57+08:00|MAINBOARD|Assert|Critical|12FF0202|System_Error SYS Error  IERR  FM_CPU_CATERR_LVT3_N_Long.| 
/home/maomao/LOG-analysis/Error_logs/Tencent_LC21C209000BD_2022-01-17-09-51/onekeylog/log/idl.log:289:<166>  2022-01-07T10:42:23.813195+08:00 LC21C209000BD InspurDiagnose:   |2022-01-07T10:41:58+08:00|ACPI STATUS|Assert|Info|22FF0000|ACPI_PWR S0/G0 working | 
"
2022-01-07T10:42:23,maintenance.log,LC21C209000BD,InspurMcaDiagnose:,[3338 : 3348 INFO]【MCAProgressTask】Get register start time: 2022-01-07T10:42:23 
2022-01-07T10:42:23,maintenance.log,LC21C209000BD,InspurMcaDiagnose:,[3338 : 3348 INFO]【MCAProgressTask】 Before read  cpu register data sleep 90s 
